Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1856,0.07568,0.757377469,-0.0632952,0.18227,0.615294118,,0.098788551
1857,0.076389,0.764653966,-0.0528876,0.18896,0.811764706,,-0.10679414
1858,0.077557819,0.772011108,-0.0363204,0.19561,0.128823529,,0.561455798
1859,0.08223596,0.778464907,-0.013806,0.1976,-0.144705882,,0.821612749
1860,0.090240773,0.743458027,0.014868,0.19967,0.451764706,,0.167396093
1861,0.094905907,0.711980206,0.050976,0.206965,-0.498823529,,1.047768642
1862,0.096631403,0.709883562,0.0947304,0.219015,-0.527058824,,1.019828389
1863,0.103127712,0.709274623,0.146556,0.22639,0.756470588,,-0.317014253
1864,0.111105652,0.700513328,0.20709,0.228825,0.688823529,,-0.31311955
1865,0.117987934,0.690492366,0.2742084,0.236465,0.008823529,,0.28898337
1866,0.121716867,0.687520683,0.3349548,0.244015,0.433529412,,-0.203261662
1867,0.130408,0.689613829,0.3859308,0.25209,0.552352941,,-0.370351912
1868,0.133939,0.686298997,0.4275612,0.259695,0.751176471,,-0.618194674
1869,0.14223,0.681946982,0.4592088,0.26803,0.164705882,,-0.0677677
1870,0.145343,0.734524834,0.4817232,0.271125,0.495294118,,-0.368274483
1871,0.154515,0.764166815,0.4957416,0.27913,-0.164117647,,0.307927862
1872,0.170953,0.777761385,0.4974408,0.287825,0.138823529,,0.024625055
1873,0.18161,0.797628164,0.4866084,0.295945,0.106470588,,0.090214176
1874,0.170032,0.811315525,0.463032,0.30465,0.419411765,,-0.205746239
1875,0.184443,0.821978904,0.4313844,0.313115,0.386470588,,-0.124548084
1876,0.187105,0.830510054,0.4105692,0.3218,0.735882353,,-0.450636499
1877,0.190802,0.842983193,0.4048344,0.33546,0.995294118,,-0.701803324
1878,0.192243922,0.854430095,0.4143924,0.34427,0.324117647,,-0.03610603
1879,0.206023338,0.867021775,0.4381812,0.35277,0.044117647,,0.237976266
1880,0.232998687,0.879107426,0.4685544,0.36152,0.677647059,,-0.395615346
1881,0.240831734,0.877232585,0.50445,0.370275,-0.16,,0.403339319
1882,0.254346264,0.895579229,0.5456556,0.37901,-0.286470588,,0.511730481
1883,0.270479171,0.911406371,0.5923836,0.38723,1.035882353,,-0.833610411
1884,0.273520127,0.915496651,0.6473952,0.395745,0.904117647,,-0.758241069
1885,0.275566204,0.916763664,0.7198236,0.404035,0.232941176,,-0.164469908
1886,0.279879608,0.924524425,0.7833312,0.40716,0.740588235,,-0.726675402
1887,0.293876004,0.936840485,0.8222004,0.415325,0.799411765,,-0.806220676
1888,0.325402858,0.939454385,0.8396172,0.418595,1.054705882,,-1.04806084
1889,0.325274135,0.939680422,0.8532108,0.426245,0.537647059,,-0.552148301
1890,0.354384165,0.976799154,0.8636184,0.433865,0.679411765,,-0.645711845
1891,0.370873278,1.004529026,0.8619192,0.43643,0.011176471,,0.065876633
1892,0.373934098,1.015891724,0.84429,0.44394,0.375294118,,-0.273698296
1893,0.369452793,1.03191422,0.8128548,0.45139,0.408823529,,-0.271701316
1894,0.382332041,1.041383584,0.7735608,0.45927,0.777647059,,-0.586762234
1895,0.405371544,1.049562408,0.7276824,0.46162,0.660588235,,-0.394956683
1896,0.418589247,1.059392602,0.6650244,0.46931,1.131764706,,-0.788117257
1897,0.438403559,1.070428946,0.5906844,0.47716,1.068235294,,-0.627247189
1898,0.462411891,1.081184447,0.532062,0.479805,0.538823529,,-0.007094192
1899,0.505159925,1.090511833,0.4965912,0.487715,0.273529412,,0.337836147
1900,0.532812406,1.120957144,0.4825728,0.491055,1.012352941,,-0.332211192
1901,0.550426017,1.137217087,0.4840596,0.499255,0.134117647,,0.570210857
1902,0.564355244,1.154132467,0.4989276,0.502425,-0.357058824,,1.074193934
1903,0.615741608,1.161863971,0.5259024,0.51101,1.251176471,,-0.510483292
1904,0.622777712,1.17767029,0.5645592,0.519745,1.348235294,,-0.632091493
1905,0.663108998,1.183850657,0.609588,0.52319,0.271764706,,0.442416949
1906,0.696470937,1.188981724,0.6422976,0.531915,1.031176471,,-0.31993641
1907,0.787467588,1.195196967,0.66906,0.540975,1.041764706,,-0.269135151
1908,0.757759714,1.203123451,0.6890256,0.549505,1.127647059,,-0.405294494
1909,0.787959351,1.213973167,0.7007076,0.55817,0.668235294,,0.074819623
1910,0.826307004,1.216594159,0.7079292,0.56192,0.929411765,,-0.156359801
1911,0.841283372,1.213586734,0.725346,0.570295,0.206470588,,0.552758517
1912,0.881095019,1.198255745,0.7559316,0.57396,0.431176471,,0.318282693
1913,0.953169009,1.200241682,0.7892784,0.582225,0.513529412,,0.26837788
1914,0.864721987,1.198253054,0.8151912,0.58512,0.922941176,,-0.260277336
1915,0.852917179,1.185152105,0.8360064,0.593875,0.583529412,,0.024658472
1916,0.920620652,1.172426638,0.8476884,0.596995,1.101764706,,-0.453400815
1917,0.962807227,1.173119651,0.848538,0.6049,1.572352941,,-0.889864064
1918,0.949559383,1.178933884,0.8360064,0.612745,0.657647059,,0.022094808
1919,0.822836846,1.174339646,0.8096688,0.61601,0.096470588,,0.475027103
1920,0.957313765,1.207765174,0.7756848,0.62373,1.189411765,,-0.423747626
1921,0.839530082,1.23540951,0.7493472,0.63178,1.070588235,,-0.376775843
1922,0.880579977,1.246871158,0.7329924,0.634325,0.448235294,,0.311898441
1923,0.999203259,1.253134822,0.7270452,0.642225,1.082941176,,-0.199873295
1924,1.002292399,1.256597866,0.728532,0.644645,0.437058824,,0.448654442
1925,1.013337258,1.271996867,0.7334172,0.65195,0.867058824,,0.032908101
1926,0.994866332,1.270799339,0.7459488,0.654085,0.052352941,,0.81327893
1927,1.086635612,1.268624231,0.7618788,0.655995,1.073529412,,-0.136143369
1928,1.081482677,1.271616774,0.7799328,0.662745,0.151764706,,0.758656945
1929,1.161340264,1.272298641,0.7909776,0.66403,0.431176471,,0.547454834
1930,1.070703696,1.3006253,0.7920396,0.665485,0.605882353,0.002388821,0.305533222
1931,0.956679054,1.326935008,0.7914024,0.666855,-0.19,0.002166118,1.013190544
1932,0.8622089,1.338971051,0.790128,0.67242,0.700588235,0.001835757,0.036207959
1933,0.907874941,1.352921036,0.7875792,0.67314,0.571764706,0.001866481,0.22644559
1934,0.98735195,1.368519514,0.7835436,0.673565,0.667647059,0.002205763,0.228910042
1935,1.03605031,1.365779224,0.7750476,0.673935,0.411764706,0.002538549,0.538543679
1936,1.13825701,1.372258863,0.7591176,0.673925,0.291764706,0.002669015,0.783039552
1937,1.216949054,1.373545036,0.739152,0.673775,0.294705882,0.003189724,0.879671483
1938,1.144989836,1.382955691,0.7145136,0.673425,0.469411765,0.003438779,0.667156383
1939,1.211283839,1.384575109,0.672246,0.673255,1.328235294,0.003651715,-0.081529061
1940,1.323669909,1.435164735,0.6072516,0.673305,0.907647059,0.003402791,0.567228193
1941,1.353489691,1.460742755,0.523566,0.66803,0.222352941,0.003605287,1.396678218
1942,1.348178182,1.462023855,0.43011,0.66835,0.916470588,0.003372568,0.79189888
1943,1.37097452,1.458500135,0.33453,0.668845,0.945882353,0.003200715,0.877016587
1944,1.393405206,1.453389746,0.2597652,0.66985,0.057058824,0.002721619,1.857399309
1945,1.158498388,1.444274402,0.214524,0.671235,0.478823529,0.002502796,1.235687464
1946,1.264595328,1.436095588,0.2036916,0.678325,0.29,0.003092506,1.52558181
1947,1.400159779,1.426582466,0.2153736,0.681085,1.068235294,0.003570292,0.858478059
1948,1.474103569,1.40775096,0.2504196,0.68902,1.04,0.004173151,0.898241778
1949,1.430977875,1.388785847,0.3035196,0.69308,0.507058824,0.004744872,1.311360426
1950,1.63843837,1.486317728,0.3627792,0.702545,1.990588235,0.005460477,0.063383186
1951,1.741199766,1.534667588,0.4192776,0.71233,0.729411765,0.006148459,1.40869953
1952,1.764654539,1.591934004,0.4804488,0.7284,-0.131176471,0.006726843,2.272189371
1953,1.814336194,1.629532689,0.5484168,0.74464,0.922352941,0.007473365,1.220985777
1954,1.853148606,1.682113064,0.6231816,0.756845,0.794117647,0.008228729,1.352888695
1955,2.031442977,1.738824854,0.7004952,0.76967,1.831764706,0.009109846,0.459228079
1956,2.162721219,1.798825156,0.7758972,0.78329,2.314705882,0.009943715,0.077709578
1957,2.234040385,1.850088382,0.8714772,0.792965,0.714705882,0.01064079,1.694339895
1958,2.297379927,1.907753949,1.734174716,0.807815,-0.074705882,0.011398876,1.726451167
1959,2.417082061,1.845518808,2.03904,0.918022208,0.395882353,0.01268373,0.896972578
1960,2.561936046,1.853711559,1.50804,0.899128548,1.156470588,0.0138388,0.838169669
1961,2.570268187,1.862120308,1.65672,0.754059887,0.611176471,0.014726464,1.395705673
1962,2.661041666,1.790598926,1.18944,0.800368726,1.155294118,0.015871007,1.290666742
1963,2.803363645,1.651861984,1.21068,0.981130065,1.060588235,0.016862708,1.18596462
1964,2.955474229,1.564111212,1.04076,1.176316404,1.551176471,0.018451229,0.732881337
1965,3.088764443,1.417172571,2.3364,1.270941493,0.286470588,0.019485973,0.592638959
1966,3.238499289,1.34886568,2.3364,1.239891582,1.347058824,0.020914842,-0.356900278
1967,3.34144256,1.372222835,1.29564,1.105465421,1.634117647,0.021952477,0.65648985
1968,3.52344774,1.379532313,2.10276,1.11327176,2.404117647,0.023532643,-0.740701997
1969,3.757251816,1.292424376,2.80368,1.19702185,0.581176471,0.024966522,0.44283135
1970,4.065929884,1.286514346,2.40012,1.092049439,0.511764706,0.026489823,1.322020263
1971,4.229876276,1.273134384,1.55052,1.146879528,2.421764706,0.02799151,0.355854917
1972,4.427170379,1.276301568,3.12228,1.386105867,1.134705882,0.030485451,0.029894747
1973,4.661242385,1.238637085,3.10104,1.340277206,1.616470588,0.032610441,-0.190518766
1974,4.642356554,1.192265824,1.44432,1.262374795,3.770588235,0.033395811,-0.676056463
1975,4.65242828,1.417017783,2.61252,1.205952384,2.448235294,0.034104432,-0.231366047
1976,4.908289532,1.301928042,2.06028,1.330384973,2.934117647,0.036066968,-0.150632014
1977,5.047633958,1.26728447,4.07808,1.448340062,1.608235294,0.038465278,-0.858202206
1978,5.204084928,1.153955075,2.73996,1.494296402,2.654705882,0.041111291,-0.572033571
1979,5.352079075,1.160741763,4.54536,1.406613991,1.364117647,0.04259889,-0.845869691
1980,5.32003644,1.130973331,3.63204,1.66682533,0.454117647,0.043860727,0.654166067
1981,5.192934001,1.177646398,2.46384,1.666856669,2.241176471,0.044740826,-0.046033567
1982,5.151681298,1.155481821,2.08152,1.815808008,1.54,0.045586188,0.824248923
1983,5.185052281,1.27215875,3.9294,1.954880597,0.291176471,0.047107128,0.234646835
1984,5.364824474,1.411811426,2.61252,1.840390686,2.67,0.048557117,-0.394831903
1985,5.545164717,1.337713242,3.48336,1.723412025,2.547647059,0.049960639,-0.921501765
1986,5.627626544,1.317746651,2.124,1.754049614,2.161176471,0.052336417,0.853810693
1987,5.804092395,1.263665666,5.64984,1.850043454,0.381176471,0.054798024,-0.868099888
1988,6.032041346,1.229257241,4.63032,1.768017293,2.071764706,0.058076626,-1.266880038
1989,6.115401888,1.188241,3.14352,1.738237382,3.412352941,0.058036534,-1.048503969
1990,6.208944967,1.173356413,2.5488,1.917606955,2.225882353,0.05750387,0.632508202
1991,6.342276787,1.149586755,1.593,2.003816801,2.023529412,0.061053217,1.810464113
1992,6.159831954,1.198579849,1.50804,2.167586131,2.123529412,0.061916219,1.497340041
1993,6.223661394,1.17172269,2.63376,2.118310805,2.816470588,0.066167605,-0.239324914
1994,6.267626463,1.314115346,3.52584,1.976489562,1.484705882,0.069813709,0.524892655
1995,6.401185713,1.300821215,4.22676,1.950802342,1.59,0.073664287,-0.139219701
1996,6.592511246,1.321238411,2.25144,1.952112999,3.061764706,0.076577975,0.571853977
1997,6.632246297,1.820590213,4.20552,2.068941793,3.058235294,0.079486562,-0.959347139
1998,6.606515085,1.401314946,6.03216,2.135530976,1.57,0.080461869,-1.810322815
1999,6.69185652,1.384558442,2.84616,1.947954785,3.381176471,0.083429614,-0.182305907
2000,6.887065297,1.238342403,2.63376,1.871352872,3.516470588,0.086772776,0.017051464
2001,6.946248498,1.136712284,3.90816,1.791572012,2.402941176,0.089617012,-0.109329419
2002,7.106766233,1.287697919,5.05512,2.129743961,1.020588235,0.094394431,0.094617525
2003,7.469083868,1.39010841,4.86396,2.265832692,2.164117647,0.101384393,-0.536102455
2004,7.81319133,1.248988591,3.2922,2.21097463,3.257647059,0.108448523,0.19290971
2005,8.079360588,1.118971864,5.22504,2.24537541,1.875882353,0.116054763,-0.264020073
2006,8.347033319,1.266371146,3.78072,2.346096343,2.939411765,0.126380984,0.420795373
2007,8.59545349,1.104420304,4.50288,2.31720572,2.63,0.136211088,0.113576986
2008,8.752577513,1.129604554,3.75948,2.307114317,3.358235294,0.140967478,0.316384978
2009,8.626376204,1.23614657,3.35592,2.448430246,2.671764706,0.148333776,1.238074046
2010,9.100245757,1.167811518,5.11884,2.440602218,3.107058824,0.157597333,-0.5560411
2011,9.407328342,1.318542013,3.58956,2.490190306,3.941176471,0.170529021,0.534414558
2012,9.545326186,1.276320911,5.11884,2.550226747,2.391176471,0.177551055,0.583852824
2013,9.629646682,1.17816299,5.18256,2.601800191,3.257647059,0.185995765,-0.420193343
2014,9.698264998,1.245549891,4.3542,2.720979862,3.604117647,0.194189293,0.070328087
2015,9.687883826,1.301011407,6.2658,2.785053571,2.146470588,0.196215146,-0.404644072
2016,9.675889546,1.010800906,6.01092,2.93415469,2.8,0.199106369,-1.257490607
2017,9.805059412,0.999694137,4.5666,2.839219869,3.524705882,0.203693613,-0.329465816
2018,10.00167571,1.052821699,5.11884,2.907691446,3.346470588,0.210855607,-0.529360237
2019,10.01705865,1.04405313,5.39496,2.97397468,2.692352941,0.215297542,-0.215473381
2020,9.499797789,0.876089782,5.01264,2.994930931,2.924705882,0.218773919,-0.775163161
